Chromosome	Start	End	Strand	Feature	gene_id	UTR_id
chr1	40855017	40855267	+	3UTR	Tmem182	Tmem182:chr1:40855017:40855267:u1
chr1	42698640	42700209	+	3UTR	Pou3f3	Pou3f3:chr1:42698640:42700209:u1
chr1	42905497	42905683	+	3UTR	Mrps9	Mrps9:chr1:42905497:42905683:u1
chr1	43033321	43035449	+	3UTR	Gpr45	Gpr45:chr1:43033321:43035449:u1
chr1	43113243	43115946	+	3UTR	AI597479	AI597479:chr1:43113243:43115946:u1
chr1	43569343	43570518	+	3UTR	Nck2	Nck2:chr1:43569343:43570518:u1
chr1	43742407	43742564	+	3UTR	Ecrg4	Ecrg4:chr1:43742407:43742564:u1
chr1	44002194	44003000	+	3UTR	Tpp2	Tpp2:chr1:44002194:44003000:u1
chr1	44143143	44144771	+	3UTR	Bivm	Bivm:chr1:44143143:44144771:u1
chr1	44181083	44181260	+	3UTR	Ercc5	Ercc5:chr1:44181083:44181260:u1
chr1	44795022	44796836	+	3UTR	Gulp1	Gulp1:chr1:44795022:44796836:u1
chr1	45348748	45349706	+	3UTR	Col3a1	Col3a1:chr1:45348748:45349706:u1
chr1	45823516	45823638	+	3UTR	Wdr75	Wdr75:chr1:45823516:45823638:u1
chr1	46373440	46373546	+	3UTR	Dnah7b	Dnah7b:chr1:46373440:46373546:u1
chr1	46807366	46807477	+	3UTR	Dnah7c	Dnah7c:chr1:46807366:46807477:u1
chr1	51185482	51187270	+	3UTR	Tmeff2	Tmeff2:chr1:51185482:51187270:u1
chr1	51301423	51302960	+	3UTR	Cavin2	Cavin2:chr1:51301423:51302960:u1
chr1	52106937	52107189	+	3UTR	Stat4	Stat4:chr1:52106937:52107189:u1
chr1	52159298	52161865	+	3UTR	Stat1	Stat1:chr1:52159298:52161865:u1
chr1	52649845	52651919	+	3UTR	Nemp2	Nemp2:chr1:52649845:52651919:u1
chr1	52920379	52920986	+	3UTR	Hibch	Hibch:chr1:52920379:52920986:u1
chr1	53066632	53068079	+	3UTR	Mstn	Mstn:chr1:53066632:53068079:u1
chr1	53308963	53310245	+	3UTR	Ormdl1	Ormdl1:chr1:53308963:53310245:u1
chr1	53323246	53323270	+	3UTR	Osgepl1	Osgepl1:chr1:53323246:53323270:u1
chr1	53326004	53326342	+	3UTR	Osgepl1	Osgepl1:chr1:53326004:53326342:u2
chr1	54368400	54368727	+	3UTR	Ccdc150	Ccdc150:chr1:54368400:54368727:u1
chr1	55071804	55072702	+	3UTR	Coq10b	Coq10b:chr1:55071804:55072702:u1
chr1	55091121	55091317	+	3UTR	Hspe1	Hspe1:chr1:55091121:55091317:u1
chr1	55152807	55154899	+	3UTR	Mob4	Mob4:chr1:55152807:55154899:u1
chr1	55239001	55240058	+	3UTR	Mars2	Mars2:chr1:55239001:55240058:u1
chr1	55751464	55754285	+	3UTR	Plcl1	Plcl1:chr1:55751464:55754285:u1
chr1	57383565	57385422	+	3UTR	1700066M21Rik	1700066M21Rik:chr1:57383565:57385422:u1
chr1	57415735	57417952	+	3UTR	Maip1	Maip1:chr1:57415735:57417952:u1
chr1	57946464	57948397	+	3UTR	Spats2l	Spats2l:chr1:57946464:57948397:u1
chr1	58024800	58026277	+	3UTR	Sgo2a	Sgo2a:chr1:58024800:58026277:u1
chr1	58106079	58106410	+	3UTR	Aox1	Aox1:chr1:58106079:58106410:u1
chr1	58200224	58200452	+	3UTR	Aox3	Aox3:chr1:58200224:58200452:u1
chr1	58267814	58268596	+	3UTR	Aox4	Aox4:chr1:58267814:58268596:u1
chr1	58376316	58376336	+	3UTR	Aox2	Aox2:chr1:58376316:58376336:u1
chr1	58378641	58379264	+	3UTR	Aox2	Aox2:chr1:58378641:58379264:u2
chr1	58405067	58407354	+	3UTR	Bzw1	Bzw1:chr1:58405067:58407354:u1
chr1	58461326	58462276	+	3UTR	Nif3l1	Nif3l1:chr1:58461326:58462276:u1
chr1	58595806	58595964	+	3UTR	Ndufb3	Ndufb3:chr1:58595806:58595964:u1
chr1	58732363	58733227	+	3UTR	Cflar	Cflar:chr1:58732363:58733227:u1
chr1	58753923	58758882	+	3UTR	Cflar	Cflar:chr1:58753923:58758882:u2
chr1	58846755	58847503	+	3UTR	Casp8	Casp8:chr1:58846755:58847503:u1
chr1	58994437	58995121	+	3UTR	Stradb	Stradb:chr1:58994437:58995121:u1
chr1	59344358	59344366	+	3UTR	Cdk15	Cdk15:chr1:59344358:59344366:u1
chr1	59352270	59352496	+	3UTR	Cdk15	Cdk15:chr1:59352270:59352496:u2
chr1	59484679	59486955	+	3UTR	Fzd7	Fzd7:chr1:59484679:59486955:u1
chr1	59634263	59634509	+	3UTR	Gm973	Gm973:chr1:59634263:59634509:u1
chr1	59636224	59636416	+	3UTR	Gm973	Gm973:chr1:59636224:59636416:u2
chr1	59711322	59711510	+	3UTR	Nop58	Nop58:chr1:59711322:59711510:u1
chr1	59870486	59878081	+	3UTR	Bmpr2	Bmpr2:chr1:59870486:59878081:u1
chr1	59981728	59985348	+	3UTR	Fam117b	Fam117b:chr1:59981728:59985348:u1
chr1	60150688	60153953	+	3UTR	Carf	Carf:chr1:60150688:60153953:u1
chr1	60330993	60334705	+	3UTR	Nbeal1	Nbeal1:chr1:60330993:60334705:u1
chr1	60387290	60388060	+	3UTR	Cyp20a1	Cyp20a1:chr1:60387290:60388060:u1
chr1	60476916	60481163	+	3UTR	Abi2	Abi2:chr1:60476916:60481163:u1
chr1	60769786	60773359	+	3UTR	Cd28	Cd28:chr1:60769786:60773359:u1
chr1	60914681	60915832	+	3UTR	Ctla4	Ctla4:chr1:60914681:60915832:u1
chr1	60997715	61000321	+	3UTR	Icos	Icos:chr1:60997715:61000321:u1
chr1	62637924	62642284	+	3UTR	Pard3b	Pard3b:chr1:62637924:62642284:u1
chr1	62795990	62797091	+	3UTR	Nrp2	Nrp2:chr1:62795990:62797091:u1
chr1	62815638	62818692	+	3UTR	Nrp2	Nrp2:chr1:62815638:62818692:u2
chr1	63179613	63180486	+	3UTR	Eef1b2	Eef1b2:chr1:63179613:63180486:u1
chr1	63309946	63314575	+	3UTR	Zdbf2	Zdbf2:chr1:63309946:63314575:u1
chr1	63592657	63596101	+	3UTR	Adam23	Adam23:chr1:63592657:63596101:u1
chr1	63620261	63620821	+	3UTR	Gm39653	Gm39653:chr1:63620261:63620821:u1
chr1	63752405	63753385	+	3UTR	Fastkd2	Fastkd2:chr1:63752405:63753385:u1
chr1	64597379	64604548	+	3UTR	Creb1	Creb1:chr1:64597379:64604548:u1
chr1	64723640	64725642	+	3UTR	Ccnyl1	Ccnyl1:chr1:64723640:64725642:u1
chr1	65273759	65278696	+	3UTR	Pikfyve	Pikfyve:chr1:65273759:65278696:u1
chr1	65388811	65389244	+	3UTR	Pth2r	Pth2r:chr1:65388811:65389244:u1
chr1	65928078	65928311	+	3UTR	Crygf	Crygf:chr1:65928078:65928311:u1
chr1	66439008	66442583	+	3UTR	Map2	Map2:chr1:66439008:66442583:u1
chr1	66695597	66699150	+	3UTR	Unc80	Unc80:chr1:66695597:66699150:u1
chr1	66717877	66719805	+	3UTR	Rpe	Rpe:chr1:66717877:66719805:u1
chr1	67230347	67231267	+	3UTR	Cps1	Cps1:chr1:67230347:67231267:u1
chr1	69923914	69926250	+	3UTR	Spag16	Spag16:chr1:69923914:69926250:u1
chr1	70724943	70725132	+	3UTR	Spag16	Spag16:chr1:70724943:70725132:u2
chr1	70882097	70885397	+	3UTR	Vwc2l	Vwc2l:chr1:70882097:70885397:u1
chr1	71578672	71579403	+	3UTR	Atic	Atic:chr1:71578672:71579403:u1
chr1	72301307	72302995	+	3UTR	Tmem169	Tmem169:chr1:72301307:72302995:u1
chr1	72394723	72394953	+	3UTR	Xrcc5	Xrcc5:chr1:72394723:72394953:u1
chr1	72633055	72636790	+	3UTR	Smarcal1	Smarcal1:chr1:72633055:72636790:u1
chr1	72713566	72713813	+	3UTR	Rpl37a	Rpl37a:chr1:72713566:72713813:u1
chr1	72852163	72852471	+	3UTR	Igfbp2	Igfbp2:chr1:72852163:72852471:u1
chr1	74147747	74148230	+	3UTR	Rufy4	Rufy4:chr1:74147747:74148230:u1
chr1	74159429	74161246	+	3UTR	Cxcr2	Cxcr2:chr1:74159429:74161246:u1
chr1	74267796	74268209	+	3UTR	Arpc2	Arpc2:chr1:74267796:74268209:u1
chr1	74287285	74287453	+	3UTR	Pnkd	Pnkd:chr1:74287285:74287453:u1
chr1	74351932	74353692	+	3UTR	Pnkd	Pnkd:chr1:74351932:74353692:u2
chr1	74369074	74369321	+	3UTR	Catip	Catip:chr1:74369074:74369321:u1
chr1	74385507	74386051	+	3UTR	Slc11a1	Slc11a1:chr1:74385507:74386051:u1
chr1	74395585	74397285	+	3UTR	Ctdsp1	Ctdsp1:chr1:74395585:74397285:u1
chr1	74434992	74435560	+	3UTR	Vil1	Vil1:chr1:74434992:74435560:u1
chr1	74528855	74530842	+	3UTR	Cnot9	Cnot9:chr1:74528855:74530842:u1
chr1	74565367	74565367	+	3UTR	Plcd4	Plcd4:chr1:74565367:74565367:u1
chr1	74565747	74565977	+	3UTR	Plcd4	Plcd4:chr1:74565747:74565977:u2
chr1	74592072	74592443	+	3UTR	Bcs1l	Bcs1l:chr1:74592072:74592443:u1
chr1	74635859	74636893	+	3UTR	Stk36	Stk36:chr1:74635859:74636893:u1
chr1	74697700	74701832	+	3UTR	Ttll4	Ttll4:chr1:74697700:74701832:u1
chr1	74737660	74737897	+	3UTR	Cyp27a1	Cyp27a1:chr1:74737660:74737897:u1
chr1	74784601	74785319	+	3UTR	Wnt6	Wnt6:chr1:74784601:74785319:u1
chr1	74803621	74804175	+	3UTR	Wnt10a	Wnt10a:chr1:74803621:74804175:u1
chr1	74856208	74857732	+	3UTR	Cdk5r2	Cdk5r2:chr1:74856208:74857732:u1
chr1	75147056	75147909	+	3UTR	Retreg2	Retreg2:chr1:75147056:75147909:u1
chr1	75171281	75171626	+	3UTR	Zfand2b	Zfand2b:chr1:75171281:75171626:u1
chr1	75195347	75195538	+	3UTR	Ankzf1	Ankzf1:chr1:75195347:75195538:u1
chr1	75199188	75199385	+	3UTR	Ankzf1	Ankzf1:chr1:75199188:75199385:u2
chr1	75213953	75215606	+	3UTR	Stk16	Stk16:chr1:75213953:75215606:u1
chr1	75243814	75245692	+	3UTR	Dnajb2	Dnajb2:chr1:75243814:75245692:u1
chr1	75367051	75368579	+	3UTR	Des	Des:chr1:75367051:75368579:u1
chr1	75403785	75404565	+	3UTR	Speg	Speg:chr1:75403785:75404565:u1
chr1	75431452	75432306	+	3UTR	Speg	Speg:chr1:75431452:75432306:u2
chr1	75443002	75443179	+	3UTR	Gmppa	Gmppa:chr1:75443002:75443179:u1
chr1	75473633	75474340	+	3UTR	Asic4	Asic4:chr1:75473633:75474340:u1
chr1	75484985	75485693	+	3UTR	Tmem198	Tmem198:chr1:75484985:75485693:u1
chr1	75510164	75510366	+	3UTR	Inha	Inha:chr1:75510164:75510366:u1
chr1	75536236	75537335	+	3UTR	Stk11ip	Stk11ip:chr1:75536236:75537335:u1
chr1	75558891	75559431	+	3UTR	Slc4a3	Slc4a3:chr1:75558891:75559431:u1
chr1	78417427	78420286	+	3UTR	Sgpp2	Sgpp2:chr1:78417427:78420286:u1
chr1	78538099	78538173	+	3UTR	Mogat1	Mogat1:chr1:78538099:78538173:u1
chr1	78666730	78667601	+	3UTR	Utp14b	Utp14b:chr1:78666730:78667601:u1
chr1	78706416	78707743	+	3UTR	Acsl3	Acsl3:chr1:78706416:78707743:u1
chr1	78818150	78820032	+	3UTR	Kcne4	Kcne4:chr1:78818150:78820032:u1
chr1	79781139	79781445	+	3UTR	Mrpl44	Mrpl44:chr1:79781139:79781445:u1
chr1	81298096	81300096	+	3UTR	Nyap2	Nyap2:chr1:81298096:81300096:u1
chr1	81336742	81341764	+	3UTR	Nyap2	Nyap2:chr1:81336742:81341764:u2
chr1	82442955	82445367	+	3UTR	Rhbdd1	Rhbdd1:chr1:82442955:82445367:u1
chr1	82718885	82722059	+	3UTR	Col4a3	Col4a3:chr1:82718885:82722059:u1
chr1	82751717	82752389	+	3UTR	Mff	Mff:chr1:82751717:82752389:u1
chr1	82895059	82901001	+	3UTR	Agfg1	Agfg1:chr1:82895059:82901001:u1
chr1	83061413	83061921	+	3UTR	Krtap28-13	Krtap28-13:chr1:83061413:83061921:u1
chr1	83118718	83119167	+	3UTR	Ccl20	Ccl20:chr1:83118718:83119167:u1
chr1	83210190	83210572	+	3UTR	Daw1	Daw1:chr1:83210190:83210572:u1
chr1	84900186	84900486	+	3UTR	Fbxo36	Fbxo36:chr1:84900186:84900486:u1
chr1	85213541	85213762	+	3UTR	Gm7609	Gm7609:chr1:85213541:85213762:u1
chr1	85644683	85645036	+	3UTR	Sp140	Sp140:chr1:85644683:85645036:u1
chr1	85682276	85683118	+	3UTR	Sp100	Sp100:chr1:85682276:85683118:u1
chr1	85701459	85701572	+	3UTR	Sp100	Sp100:chr1:85701459:85701572:u2
chr1	85709119	85709997	+	3UTR	Sp100	Sp100:chr1:85709119:85709997:u3
chr1	85849222	85851577	+	3UTR	Cab39	Cab39:chr1:85849222:85851577:u1
chr1	85907639	85908698	+	3UTR	Itm2c	Itm2c:chr1:85907639:85908698:u1
chr1	86024542	86024669	+	3UTR	Spata3	Spata3:chr1:86024542:86024669:u1
chr1	86026520	86026557	+	3UTR	Spata3	Spata3:chr1:86026520:86026557:u2
chr1	86026852	86027178	+	3UTR	Spata3	Spata3:chr1:86026852:86027178:u3
chr1	86029579	86029958	+	3UTR	Spata3	Spata3:chr1:86029579:86029958:u4
chr1	86053090	86055456	+	3UTR	2810459M11Rik	2810459M11Rik:chr1:86053090:86055456:u1
chr1	86137110	86137116	+	3UTR	Psmd1	Psmd1:chr1:86137110:86137116:u1
chr1	86139080	86139295	+	3UTR	Psmd1	Psmd1:chr1:86139080:86139295:u2
chr1	86252397	86252491	+	3UTR	Armc9	Armc9:chr1:86252397:86252491:u1
chr1	86275683	86278284	+	3UTR	Armc9	Armc9:chr1:86275683:86278284:u2
chr1	86306228	86307305	+	3UTR	B3gnt7	B3gnt7:chr1:86306228:86307305:u1
chr1	86427964	86428049	+	3UTR	Tex44	Tex44:chr1:86427964:86428049:u1
chr1	86529791	86529804	+	3UTR	Ptma	Ptma:chr1:86529791:86529804:u1
chr1	86529965	86530711	+	3UTR	Ptma	Ptma:chr1:86529965:86530711:u2
chr1	86605217	86606828	+	3UTR	Cops7b	Cops7b:chr1:86605217:86606828:u1
chr1	87049746	87050097	+	3UTR	Dis3l2	Dis3l2:chr1:87049746:87050097:u1
chr1	87127913	87128728	+	3UTR	Akp3	Akp3:chr1:87127913:87128728:u1
chr1	87188221	87188405	+	3UTR	Prss56	Prss56:chr1:87188221:87188405:u1
chr1	87198763	87200070	+	3UTR	Chrnd	Chrnd:chr1:87198763:87200070:u1
chr1	87211489	87211835	+	3UTR	Chrng	Chrng:chr1:87211489:87211835:u1
chr1	87227874	87228858	+	3UTR	Eif4e2	Eif4e2:chr1:87227874:87228858:u1
chr1	87232449	87232481	+	3UTR	Eif4e2	Eif4e2:chr1:87232449:87232481:u2
chr1	87237846	87240488	+	3UTR	Eif4e2	Eif4e2:chr1:87237846:87240488:u3
chr1	87309796	87310841	+	3UTR	Efhd1	Efhd1:chr1:87309796:87310841:u1
chr1	87449146	87450810	+	3UTR	Gigyf2	Gigyf2:chr1:87449146:87450810:u1
chr1	87475439	87475482	+	3UTR	Snorc	Snorc:chr1:87475439:87475482:u1
chr1	87597477	87597840	+	3UTR	Neu2	Neu2:chr1:87597477:87597840:u1
chr1	87719324	87720510	+	3UTR	Inpp5d	Inpp5d:chr1:87719324:87720510:u1
chr1	87791310	87792428	+	3UTR	Atg16l1	Atg16l1:chr1:87791310:87792428:u1
chr1	87845024	87845157	+	3UTR	Sag	Sag:chr1:87845024:87845157:u1
chr1	87942473	87944489	+	3UTR	Dgkd	Dgkd:chr1:87942473:87944489:u1
chr1	88218425	88218998	+	3UTR	Ugt1a6b	Ugt1a6b:chr1:88218425:88218998:u1
chr1	88218425	88220002	+	3UTR	Ugt1a1	Ugt1a1:chr1:88218425:88220002:u1
chr1	88218425	88220002	+	3UTR	Ugt1a10	Ugt1a10:chr1:88218425:88220002:u1
chr1	88218425	88220002	+	3UTR	Ugt1a2	Ugt1a2:chr1:88218425:88220002:u1
chr1	88218425	88220002	+	3UTR	Ugt1a5	Ugt1a5:chr1:88218425:88220002:u1
chr1	88218425	88220002	+	3UTR	Ugt1a6a	Ugt1a6a:chr1:88218425:88220002:u1
chr1	88218425	88220002	+	3UTR	Ugt1a7c	Ugt1a7c:chr1:88218425:88220002:u1
chr1	88218425	88220002	+	3UTR	Ugt1a9	Ugt1a9:chr1:88218425:88220002:u1
chr1	88260027	88262289	+	3UTR	Mroh2a	Mroh2a:chr1:88260027:88262289:u1
chr1	88384714	88384753	+	3UTR	Trpm8	Trpm8:chr1:88384714:88384753:u1
chr1	88388541	88388851	+	3UTR	Trpm8	Trpm8:chr1:88388541:88388851:u2
chr1	88420669	88420678	+	3UTR	Spp2	Spp2:chr1:88420669:88420678:u1
chr1	88426322	88426438	+	3UTR	Spp2	Spp2:chr1:88426322:88426438:u2
chr1	89153352	89155087	+	3UTR	Sh3bp4	Sh3bp4:chr1:89153352:89155087:u1
chr1	89888895	89895282	+	3UTR	Agap1	Agap1:chr1:89888895:89895282:u1
chr1	90214910	90215722	+	3UTR	Ackr3	Ackr3:chr1:90214910:90215722:u1
chr1	90612254	90613341	+	3UTR	Cops8	Cops8:chr1:90612254:90613341:u1
chr1	90948610	90951142	+	3UTR	Mlph	Mlph:chr1:90948610:90951142:u1
chr1	91116065	91117322	+	3UTR	Lrrfip1	Lrrfip1:chr1:91116065:91117322:u1
chr1	91128197	91128944	+	3UTR	Lrrfip1	Lrrfip1:chr1:91128197:91128944:u2
chr1	91169081	91169096	+	3UTR	Rbm44	Rbm44:chr1:91169081:91169096:u1
chr1	91170088	91170795	+	3UTR	Rbm44	Rbm44:chr1:91170088:91170795:u2
chr1	91206445	91206790	+	3UTR	Ramp1	Ramp1:chr1:91206445:91206790:u1
chr1	91223362	91225196	+	3UTR	Ramp1	Ramp1:chr1:91223362:91225196:u2
chr1	91285356	91286521	+	3UTR	Ube2f	Ube2f:chr1:91285356:91286521:u1
chr1	91320231	91321080	+	3UTR	Scly	Scly:chr1:91320231:91321080:u1
chr1	91345938	91348303	+	3UTR	Espnl	Espnl:chr1:91345938:91348303:u1
chr1	91361267	91362404	+	3UTR	Klhl30	Klhl30:chr1:91361267:91362404:u1
chr1	91372477	91374217	+	3UTR	Erfe	Erfe:chr1:91372477:91374217:u1
chr1	91527784	91529307	+	3UTR	Traf3ip1	Traf3ip1:chr1:91527784:91529307:u1
chr1	91554879	91559590	+	3UTR	Asb1	Asb1:chr1:91554879:91559590:u1
chr1	91802110	91802149	+	3UTR	Twist2	Twist2:chr1:91802110:91802149:u1
chr1	91847389	91848034	+	3UTR	Twist2	Twist2:chr1:91847389:91848034:u2
chr1	92574145	92574206	+	3UTR	Olfr1413	Olfr1413:chr1:92574145:92574206:u1
chr1	92620910	92621001	+	3UTR	Olfr12	Olfr12:chr1:92620910:92621001:u1
