seqnames	start	end	width	strand	value.group	value.group_name	count
chr1	2391841	2391841	1	+	20755	RER1	RER1:P01
chr1	2467451	2467451	1	+	19278	PLCH2	PLCH2:P01
chr1	2476289	2476315	27	+	19278	PLCH2	PLCH2:P02
chr1	2556365	2556365	1	+	25254	TNFRSF14	TNFRSF14:P01
chr1	2566535	2566535	1	+	12242	LOC100996583	LOC100996583:P01
chr1	2586523	2586523	1	+	20048	PRXL2B	PRXL2B:P01
chr1	2586777	2586777	1	+	20048	PRXL2B	PRXL2B:P02
chr1	3021467	3021467	1	+	260	ACTRT2	ACTRT2:P01
chr1	3069203	3069203	1	+	19799	PRDM16	PRDM16:P01
chr1	3127975	3127975	1	+	15038	MIR4251	MIR4251:P01
chr1	3454665	3454665	1	+	1111	ARHGEF16	ARHGEF16:P01
chr1	3625015	3625015	1	+	25417	TPRG1L	TPRG1L:P01
chr1	3652516	3652565	50	+	25381	TP73	TP73:P01
chr1	3690672	3690672	1	+	25381	TP73	TP73:P02
chr1	3698046	3698046	1	+	25381	TP73	TP73:P03
chr1	3752450	3752450	1	+	2777	CCDC27	CCDC27:P01
chr1	3772761	3772787	27	+	22732	SMIM1	SMIM1:P01
chr1	3857267	3857267	1	+	4813	DFFB	DFFB:P01
chr1	3857476	3857476	1	+	4813	DFFB	DFFB:P02
chr1	3900404	3900404	1	+	10654	LINC01134	LINC01134:P01
chr1	3940612	3940612	1	+	10805	LINC01346	LINC01346:P01
chr1	4412051	4412051	1	+	11141	LINC01777	LINC01777:P01
chr1	4571487	4571487	1	+	11036	LINC01646	LINC01646:P01
chr1	4654609	4654609	1	+	550	AJAP1	AJAP1:P01
chr1	5992676	5992676	1	+	9238	KCNAB2	KCNAB2:P01
chr1	6026333	6026333	1	+	9238	KCNAB2	KCNAB2:P02
chr1	6034688	6034688	1	+	9238	KCNAB2	KCNAB2:P03
chr1	6045888	6045888	1	+	9238	KCNAB2	KCNAB2:P04
chr1	6206119	6206119	1	+	21066	RNF207	RNF207:P01
chr1	6236240	6236240	1	+	10208	LINC00337	LINC00337:P01
chr1	6244179	6244179	1	+	8146	HES3	HES3:P01
chr1	6424776	6424776	1	+	5856	ESPN	ESPN:P01
chr1	6555307	6555307	1	+	24326	TAS1R1	TAS1R1:P01
chr1	6579994	6579994	1	+	26850	ZBTB48	ZBTB48:P01
chr1	6613731	6613731	1	+	19009	PHF13	PHF13:P01
chr1	6624865	6624865	1	+	24702	THAP3	THAP3:P01
chr1	6625150	6625150	1	+	24702	THAP3	THAP3:P02
chr1	6724745	6724745	1	+	11053	LINC01672	LINC01672:P01
chr1	6727527	6727527	1	+	11053	LINC01672	LINC01672:P02
chr1	6785324	6785324	1	+	2512	CAMTA1	CAMTA1:P01
chr1	6785454	6785454	1	+	2512	CAMTA1	CAMTA1:P02
chr1	7669730	7669765	36	+	2512	CAMTA1	CAMTA1:P03
chr1	7680088	7680088	1	+	2512	CAMTA1	CAMTA1:P04
chr1	7704736	7704736	1	+	2512	CAMTA1	CAMTA1:P05
chr1	7771296	7771296	1	+	26318	VAMP3	VAMP3:P01
chr1	7784187	7784187	1	+	18894	PER3	PER3:P01
chr1	7784429	7784429	1	+	18894	PER3	PER3:P02
chr1	7961654	7961654	1	+	18544	PARK7	PARK7:P01
chr1	7961711	7961711	1	+	18544	PARK7	PARK7:P02
chr1	8208672	8208672	1	+	11088	LINC01714	LINC01714:P01
chr1	8318114	8318114	1	+	22516	SLC45A1	SLC45A1:P01
chr1	8424645	8424645	1	+	20757	RERE-AS1	RERE-AS1:P01
chr1	8878835	8878835	1	+	5679	ENO1-AS1	ENO1-AS1:P01
chr1	8945868	8945868	1	+	2395	CA6	CA6:P01
chr1	9182204	9182204	1	+	11940	LNCTAM34A	LNCTAM34A:P01
chr1	9234774	9234774	1	+	7965	H6PD	H6PD:P01
chr1	9239847	9239847	1	+	7965	H6PD	H6PD:P02
chr1	9292894	9292894	1	+	23742	SPSB1	SPSB1:P01
chr1	9539465	9539465	1	+	22349	SLC25A33	SLC25A33:P01
chr1	9588911	9588911	1	+	25035	TMEM201	TMEM201:P01
chr1	9651731	9651731	1	+	19115	PIK3CD	PIK3CD:P01
chr1	9689544	9689544	1	+	19115	PIK3CD	PIK3CD:P02
chr1	9691467	9691467	1	+	19115	PIK3CD	PIK3CD:P03
chr1	9942923	9942923	1	+	17382	NMNAT1	NMNAT1:P01
chr1	9943475	9943475	1	+	17382	NMNAT1	NMNAT1:P02
chr1	9967381	9967381	1	+	15701	MIR5697	MIR5697:P01
chr1	9997228	9997228	1	+	20675	RBP7	RBP7:P01
chr1	10032958	10032958	1	+	26012	UBE4B	UBE4B:P01
chr1	10210570	10210570	1	+	9465	KIF1B	KIF1B:P01
chr1	10210706	10210706	1	+	9465	KIF1B	KIF1B:P02
chr1	10211616	10211616	1	+	9465	KIF1B	KIF1B:P03
chr1	10230764	10230764	1	+	9465	KIF1B	KIF1B:P04
chr1	10399064	10399064	1	+	18960	PGD	PGD:P01
chr1	10430433	10430433	1	+	3263	CENPS	CENPS:P01
chr1	10430433	10430433	1	+	3264	CENPS-CORT	CENPS-CORT:P01
chr1	10430750	10430750	1	+	3263	CENPS	CENPS:P02
chr1	10430750	10430750	1	+	3264	CENPS-CORT	CENPS-CORT:P02
chr1	10450031	10450031	1	+	3967	CORT	CORT:P01
chr1	10474950	10474950	1	+	18909	PEX14	PEX14:P01
chr1	11012622	11012622	1	+	24319	TARDBP	TARDBP:P01
chr1	11099675	11099675	1	+	5937	EXOSC10-AS1	EXOSC10-AS1:P01
chr1	11100019	11100019	1	+	5937	EXOSC10-AS1	EXOSC10-AS1:P02
chr1	11143898	11143898	1	+	16678	MTOR-AS1	MTOR-AS1:P01
chr1	11189355	11189355	1	+	748	ANGPTL7	ANGPTL7:P01
chr1	11273198	11273198	1	+	26014	UBIAD1	UBIAD1:P01
chr1	11479155	11479155	1	+	4924	DISP3	DISP3:P01
chr1	11609531	11609531	1	+	11037	LINC01647	LINC01647:P01
chr1	11654407	11654407	1	+	6421	FBXO44	FBXO44:P01
chr1	11654857	11654877	21	+	6421	FBXO44	FBXO44:P02
chr1	11664200	11664200	1	+	6427	FBXO6	FBXO6:P01
chr1	11691710	11691710	1	+	5212	DRAXIN	DRAXIN:P01
chr1	11736085	11736085	1	+	517	AGTRAP	AGTRAP:P01
chr1	11736136	11736136	1	+	517	AGTRAP	AGTRAP:P02
chr1	11762193	11762193	1	+	2134	C1orf167	C1orf167:P01
chr1	11806096	11806096	1	+	3601	CLCN6	CLCN6:P01
chr1	11806191	11806191	1	+	3601	CLCN6	CLCN6:P02
chr1	11840319	11840319	1	+	17508	NPPA-AS1	NPPA-AS1:P01
chr1	11908154	11908154	1	+	21125	RNU5E-1	RNU5E-1:P01
chr1	11934717	11934717	1	+	19345	PLOD1	PLOD1:P01
chr1	11980181	11980181	1	+	14226	MFN2	MFN2:P01
chr1	11980444	11980444	1	+	14226	MFN2	MFN2:P02
chr1	12019498	12019498	1	+	14327	MIIP	MIIP:P01
chr1	12029158	12029158	1	+	15883	MIR6729	MIR6729:P01
chr1	12063303	12063303	1	+	25265	TNFRSF8	TNFRSF8:P01
chr1	12063377	12063377	1	+	25265	TNFRSF8	TNFRSF8:P02
chr1	12166943	12166943	1	+	16103	MIR7846	MIR7846:P01
chr1	12166991	12166991	1	+	25260	TNFRSF1B	TNFRSF1B:P01
chr1	12191713	12191713	1	+	15262	MIR4632	MIR4632:P01
chr1	12230030	12230030	1	+	26411	VPS13D	VPS13D:P01
chr1	12644547	12644547	1	+	19	AADACL4	AADACL4:P01
chr1	12716110	12716110	1	+	18	AADACL3	AADACL3:P01
chr1	12746200	12746200	1	+	2131	C1orf158	C1orf158:P01
chr1	12774848	12774848	1	+	19763	PRAMEF12	PRAMEF12:P01
chr1	12791397	12791397	1	+	19760	PRAMEF1	PRAMEF1:P01
chr1	12794691	12794691	1	+	19760	PRAMEF1	PRAMEF1:P02
chr1	12857086	12857086	1	+	19770	PRAMEF2	PRAMEF2:P01
chr1	12916647	12916647	1	+	19778	PRAMEF7	PRAMEF7:P01
chr1	13175281	13175281	1	+	19780	PRAMEF9	PRAMEF9:P01
chr1	13254198	13254198	1	+	19776	PRAMEF5	PRAMEF5:P01
chr1	13303539	13303539	1	+	19774	PRAMEF33	PRAMEF33:P01
chr1	13315581	13315581	1	+	19766	PRAMEF15	PRAMEF15:P01
chr1	13389632	13389632	1	+	19767	PRAMEF17	PRAMEF17:P01
chr1	13410450	13410450	1	+	19771	PRAMEF20	PRAMEF20:P01
chr1	13583757	13583757	1	+	18844	PDPN	PDPN:P01
chr1	13585460	13585460	1	+	18844	PDPN	PDPN:P02
chr1	13700188	13700188	1	+	19801	PRDM2	PRDM2:P01
chr1	13704855	13704855	1	+	19801	PRDM2	PRDM2:P02
chr1	13749415	13749415	1	+	19801	PRDM2	PRDM2:P03
chr1	14598685	14598717	33	+	9211	KAZN	KAZN:P01
chr1	14924129	14924129	1	+	9211	KAZN	KAZN:P02
chr1	14929666	14929666	1	+	9211	KAZN	KAZN:P03
chr1	14929800	14929800	1	+	9211	KAZN	KAZN:P04
chr1	14945919	14945919	1	+	9211	KAZN	KAZN:P05
chr1	15152532	15152566	35	+	25139	TMEM51	TMEM51:P01
chr1	15153747	15153747	1	+	25139	TMEM51	TMEM51:P02
chr1	15247225	15247225	1	+	6569	FHAD1	FHAD1:P01
chr1	15409888	15409888	1	+	5459	EFHD2	EFHD2:P01
chr1	15438443	15438443	1	+	4312	CTRC	CTRC:P01
chr1	15456732	15456732	1	+	3225	CELA2A	CELA2A:P01
chr1	15476104	15476104	1	+	3226	CELA2B	CELA2B:P01
chr1	15526813	15526848	36	+	5059	DNAJC16	DNAJC16:P01
chr1	15542166	15542166	1	+	21636	SCARNA21B	SCARNA21B:P01
chr1	15617458	15617458	1	+	4657	DDI2	DDI2:P01
chr1	15659713	15659713	1	+	21385	RSC1A1	RSC1A1:P01
chr1	15684320	15684320	1	+	19323	PLEKHM2	PLEKHM2:P01
chr1	15736258	15736258	1	+	22350	SLC25A34	SLC25A34:P01
chr1	15742499	15742499	1	+	25168	TMEM82	TMEM82:P01
chr1	15756638	15756638	1	+	6362	FBLIM1	FBLIM1:P01
chr1	15758795	15758795	1	+	6362	FBLIM1	FBLIM1:P02
chr1	15764499	15764499	1	+	6362	FBLIM1	FBLIM1:P03
chr1	15847707	15847707	1	+	23659	SPEN	SPEN:P01
chr1	16004236	16004236	1	+	23766	SRARP	SRARP:P01
chr1	16022036	16022036	1	+	3603	CLCNKA	CLCNKA:P01
chr1	16043782	16043782	1	+	3604	CLCNKB	CLCNKB:P01
chr1	16048762	16048762	1	+	3604	CLCNKB	CLCNKB:P02
chr1	16367242	16367242	1	+	24234	SZRD1	SZRD1:P01
chr1	16440672	16440672	1	+	17147	NECAP2	NECAP2:P01
chr1	16440724	16440724	1	+	17147	NECAP2	NECAP2:P02
chr1	16460948	16460948	1	+	11137	LINC01772	LINC01772:P01
chr1	16461807	16461807	1	+	11137	LINC01772	LINC01772:P02
chr1	16645574	16645574	1	+	16602	MST1P2	MST1P2:P01
chr1	16872226	16872226	1	+	13099	LOC112267871	LOC112267871:P01
chr1	16921931	16921931	1	+	4118	CROCC	CROCC:P01
chr1	17189789	17189789	1	+	11828	LINC02783	LINC02783:P01
chr1	17205128	17205128	1	+	18460	PADI1	PADI1:P01
chr1	17249098	17249098	1	+	18462	PADI3	PADI3:P01
chr1	17277889	17277889	1	+	15021	MIR3972	MIR3972:P01
chr1	17308197	17308197	1	+	18463	PADI4	PADI4:P01
chr1	17372196	17372196	1	+	18464	PADI6	PADI6:P01
chr1	17539698	17539698	1	+	1107	ARHGEF10L	ARHGEF10L:P01
chr1	17580553	17580553	1	+	1107	ARHGEF10L	ARHGEF10L:P02
chr1	17618313	17618313	1	+	1107	ARHGEF10L	ARHGEF10L:P03
chr1	17755333	17755333	1	+	239	ACTL8	ACTL8:P01
chr1	18065657	18065657	1	+	11042	LINC01654	LINC01654:P01
chr1	18107798	18107798	1	+	8735	IGSF21	IGSF21:P01
chr1	18480930	18480930	1	+	9557	KLHDC7A	KLHDC7A:P01
chr1	18630846	18630846	1	+	18588	PAX7	PAX7:P01
chr1	19210386	19210386	1	+	5629	EMC1-AS1	EMC1-AS1:P01
chr1	19251805	19251805	1	+	16549	MRTO4	MRTO4:P01
chr1	19312326	19312326	1	+	22558	SLC66A1	SLC66A1:P01
chr1	19596977	19596979	3	+	14302	MICOS10	MICOS10:P01
chr1	19596979	19596979	1	+	14303	MICOS10-NBL1	MICOS10-NBL1:P01
chr1	19607807	19607807	1	+	21295	RPS14P3	RPS14P3:P01
chr1	19643229	19643229	1	+	16983	NBL1	NBL1:P01
chr1	19643409	19643409	1	+	16983	NBL1	NBL1:P02
chr1	19643714	19643714	1	+	16983	NBL1	NBL1:P03
chr1	19644311	19644311	1	+	16983	NBL1	NBL1:P04
chr1	19645372	19645372	1	+	16983	NBL1	NBL1:P05
chr1	19645766	19645766	1	+	16983	NBL1	NBL1:P06
chr1	19647610	19647610	1	+	16983	NBL1	NBL1:P07
chr1	19664875	19664875	1	+	8550	HTR6	HTR6:P01
chr1	19882395	19882395	1	+	18361	OTUD3	OTUD3:P01
chr1	20070194	20070194	1	+	19236	PLA2G5	PLA2G5:P01
chr1	20139323	20139323	1	+	19226	PLA2G2F	PLA2G2F:P01
chr1	20186096	20186096	1	+	26044	UBXN10	UBXN10:P01
chr1	20243095	20243095	1	+	11127	LINC01757	LINC01757:P01
chr1	20290875	20290875	1	+	26480	VWA5B1	VWA5B1:P01
chr1	20552573	20552573	1	+	6232	FAM43B	FAM43B:P01
chr1	20589097	20589097	1	+	3046	CDA	CDA:P01
chr1	20633458	20633458	1	+	19139	PINK1	PINK1:P01
chr1	20633679	20633679	1	+	15770	MIR6084	MIR6084:P01
chr1	21293290	21293290	1	+	5372	ECE1-AS1	ECE1-AS1:P01
chr1	21440137	21440137	1	+	16998	NBPF3	NBPF3:P01
chr1	21508984	21508984	1	+	681	ALPL	ALPL:P01
chr1	21509423	21509423	1	+	681	ALPL	ALPL:P02
chr1	21551270	21551270	1	+	681	ALPL	ALPL:P03
chr1	21812265	21812265	1	+	9991	LDLRAD2	LDLRAD2:P01
chr1	21977022	21977022	1	+	3228	CELA3B	CELA3B:P01
chr1	22001657	22001657	1	+	3227	CELA3A	CELA3A:P01
chr1	22025191	22025191	1	+	10209	LINC00339	LINC00339:P01
chr1	22025504	22025504	1	+	10209	LINC00339	LINC00339:P02
chr1	22052709	22052709	1	+	3067	CDC42	CDC42:P01
chr1	22266239	22266239	1	+	15123	MIR4418	MIR4418:P01
chr1	22451851	22451851	1	+	26840	ZBTB40	ZBTB40:P01
chr1	22563489	22563489	1	+	5746	EPHA8	EPHA8:P01
chr1	22636628	22636628	1	+	2161	C1QA	C1QA:P01
chr1	22636762	22636762	1	+	2161	C1QA	C1QA:P02
chr1	22643633	22643633	1	+	2164	C1QC	C1QC:P01
chr1	22653236	22653236	1	+	2162	C1QB	C1QB:P01
chr1	22710838	22710839	2	+	5748	EPHB2	EPHB2:P01
chr1	22719517	22719517	1	+	15318	MIR4684	MIR4684:P01
chr1	23019468	23019468	1	+	9373	KDM1A	KDM1A:P01
chr1	23044305	23044305	1	+	14737	MIR3115	MIR3115:P01
chr1	23368971	23368971	1	+	27254	ZNF436-AS1	ZNF436-AS1:P01
chr1	23369218	23369218	1	+	27254	ZNF436-AS1	ZNF436-AS1:P02
chr1	23521930	23521930	1	+	12460	LOC101928163	LOC101928163:P01
chr1	23627334	23627334	1	+	14087	MDS2	MDS2:P01
chr1	23691779	23691806	28	+	21200	RPL11	RPL11:P01
chr1	23743366	23743366	1	+	5601	ELOA	ELOA:P01
chr1	23778418	23778418	1	+	19161	PITHD1	PITHD1:P01
chr1	23791145	23791145	1	+	13698	LYPLA2	LYPLA2:P01
chr1	23929070	23929070	1	+	14967	MIR378F	MIR378F:P01
chr1	23959828	23959828	1	+	19449	PNRC2	PNRC2:P01
chr1	24200240	24200240	1	+	11831	LINC02800	LINC02800:P01
chr1	24319357	24319357	1	+	7673	GRHL3	GRHL3:P01
chr1	24323040	24323040	1	+	7673	GRHL3	GRHL3:P02
chr1	24413487	24413487	1	+	17295	NIPAL3	NIPAL3:P01
chr1	24415750	24415750	1	+	17295	NIPAL3	NIPAL3:P02
chr1	24415802	24415802	1	+	17295	NIPAL3	NIPAL3:P03
chr1	24416025	24416025	1	+	17295	NIPAL3	NIPAL3:P04
chr1	24502344	24502351	8	+	20687	RCAN3	RCAN3:P01
chr1	24502836	24502836	1	+	20687	RCAN3	RCAN3:P02
chr1	24502897	24502897	1	+	20687	RCAN3	RCAN3:P03
chr1	24507594	24507594	1	+	20687	RCAN3	RCAN3:P04
chr1	24514314	24514314	1	+	20687	RCAN3	RCAN3:P05
chr1	24556087	24556087	1	+	17044	NCMAP	NCMAP:P01
chr1	24643302	24643302	1	+	23814	SRRM1	SRRM1:P01
chr1	24643559	24643579	21	+	23814	SRRM1	SRRM1:P02
chr1	24745447	24745447	1	+	3671	CLIC4	CLIC4:P01
chr1	25023503	25023503	1	+	15130	MIR4425	MIR4425:P01
chr1	25272486	25272509	24	+	20863	RHD	RHD:P01
chr1	25338334	25338334	1	+	25137	TMEM50A	TMEM50A:P01
chr1	25430858	25430897	40	+	13738	MACO1	MACO1:P01
chr1	25543606	25543606	1	+	9995	LDLRAP1	LDLRAP1:P01
chr1	25617468	25617468	1	+	13834	MAN1C1	MAN1C1:P01
chr1	25800193	25800193	1	+	21818	SELENON	SELENON:P01
chr1	25819906	25819954	49	+	16646	MTFR1L	MTFR1L:P01
chr1	25820193	25820193	1	+	16646	MTFR1L	MTFR1L:P02
chr1	25820828	25820828	1	+	16646	MTFR1L	MTFR1L:P03
chr1	26021775	26021775	1	+	5949	EXTL1	EXTL1:P01
chr1	26111165	26111165	1	+	18829	PDIK1L	PDIK1L:P01
chr1	26111824	26111824	1	+	18829	PDIK1L	PDIK1L:P02
chr1	26159079	26159079	1	+	6025	FAM110D	FAM110D:P01
chr1	26169908	26169908	1	+	27385	ZNF593	ZNF593:P01
chr1	26177491	26177491	1	+	3770	CNKSR1	CNKSR1:P01
chr1	26190628	26190628	1	+	2628	CATSPER4	CATSPER4:P01
chr1	26225320	26225320	1	+	27645	ZPLD2P	ZPLD2P:P01
chr1	26234200	26234200	1	+	3304	CEP85	CEP85:P01
chr1	26269279	26269279	1	+	3304	CEP85	CEP85:P02
chr1	26280086	26280086	1	+	22049	SH3BGRL3	SH3BGRL3:P01
chr1	26317958	26317958	1	+	3014	CD52	CD52:P01
chr1	26410817	26410817	1	+	10108	LIN28A	LIN28A:P01
chr1	26432282	26432321	40	+	4840	DHDDS	DHDDS:P01
chr1	26472440	26472440	1	+	8279	HMGN2	HMGN2:P01
chr1	26529761	26529761	1	+	21327	RPS6KA1	RPS6KA1:P01
chr1	26543112	26543112	1	+	21327	RPS6KA1	RPS6KA1:P02
chr1	26545842	26545842	1	+	21327	RPS6KA1	RPS6KA1:P03
chr1	26554542	26554542	1	+	14627	MIR1976	MIR1976:P01
chr1	26696015	26696015	1	+	1137	ARID1A	ARID1A:P01
chr1	26787054	26787054	1	+	19099	PIGV	PIGV:P01
chr1	26787549	26787549	1	+	19099	PIGV	PIGV:P02
chr1	26787950	26787950	1	+	19099	PIGV	PIGV:P03
chr1	26788188	26788188	1	+	19099	PIGV	PIGV:P04
chr1	26826688	26826688	1	+	26912	ZDHHC18	ZDHHC18:P01
chr1	26863149	26863149	1	+	21983	SFN	SFN:P01
chr1	26921743	26921743	1	+	17675	NUDC	NUDC:P01
chr1	26993692	26993692	1	+	25619	TRNP1	TRNP1:P01
chr1	27234632	27234632	1	+	26601	WDTC1	WDTC1:P01
chr1	27322145	27322145	1	+	25058	TMEM222	TMEM222:P01
chr1	27322245	27322245	1	+	25058	TMEM222	TMEM222:P02
chr1	27323874	27323874	1	+	231	ACTG1P20	ACTG1P20:P01
chr1	27342022	27342022	1	+	24228	SYTL1	SYTL1:P01
chr1	27392622	27392622	1	+	7592	GPR3	GPR3:P01
chr1	27725961	27725961	1	+	6265	FAM76A	FAM76A:P01
chr1	27773219	27773219	1	+	24048	STX12	STX12:P01
chr1	27830782	27830782	1	+	19703	PPP1R8	PPP1R8:P01
chr1	27834401	27834401	1	+	21622	SCARNA1	SCARNA1:P01
chr1	27872543	27872544	2	+	24725	THEMIS2	THEMIS2:P01
chr1	27934955	27935000	46	+	22788	SMPDL3B	SMPDL3B:P01
chr1	27959973	27959973	1	+	26705	XKR8	XKR8:P01
chr1	28236091	28236124	34	+	1429	ATP5IF1	ATP5IF1:P01
chr1	28259518	28259518	1	+	21947	SESN2	SESN2:P01
chr1	28329040	28329040	1	+	14112	MED18	MED18:P01
chr1	28369740	28369740	1	+	18993	PHACTR4	PHACTR4:P01
chr1	28438150	28438150	1	+	18993	PHACTR4	PHACTR4:P02
chr1	28505943	28505943	1	+	20691	RCC1	RCC1:P01
chr1	28505943	28505943	1	+	22867	SNHG3	SNHG3:P01
chr1	28506043	28506043	1	+	20691	RCC1	RCC1:P02
chr1	28507365	28507365	1	+	23015	SNORA73A	SNORA73A:P01
chr1	28508558	28508558	1	+	23016	SNORA73B	SNORA73B:P01
chr1	28518226	28518226	1	+	20691	RCC1	RCC1:P03
chr1	28553017	28553017	1	+	25618	TRNAU1AP	TRNAU1AP:P01
chr1	28553085	28553085	1	+	25618	TRNAU1AP	TRNAU1AP:P02
chr1	28592265	28592265	1	+	20408	RAB42	RAB42:P01
chr1	28592495	28592495	1	+	20408	RAB42	RAB42:P02
chr1	28643256	28643256	1	+	11089	LINC01715	LINC01715:P01
chr1	28648600	28648600	1	+	21116	RNU11	RNU11:P01
chr1	28668784	28668784	1	+	7365	GMEB1	GMEB1:P01
chr1	28736621	28736621	1	+	26777	YTHDF2	YTHDF2:P01
chr1	28736940	28736940	1	+	26777	YTHDF2	YTHDF2:P02
chr1	28812170	28812170	1	+	17875	OPRD1	OPRD1:P01
chr1	28887091	28887100	10	+	5719	EPB41	EPB41:P01
chr1	28914569	28914576	8	+	5719	EPB41	EPB41:P02
chr1	29236522	29236522	1	+	20250	PTPRU	PTPRU:P01
chr1	30718772	30718772	1	+	13981	MATN1-AS1	MATN1-AS1:P01
chr1	30824652	30824652	1	+	11142	LINC01778	LINC01778:P01
chr1	31296982	31296982	1	+	26890	ZCCHC17	ZCCHC17:P01
chr1	31409777	31409777	1	+	21896	SERINC2	SERINC2:P01
chr1	31410174	31410174	1	+	21896	SERINC2	SERINC2:P02
chr1	31413213	31413213	1	+	21896	SERINC2	SERINC2:P03
chr1	31413813	31413813	1	+	21896	SERINC2	SERINC2:P04
chr1	31500085	31500085	1	+	9981	LDC1P	LDC1P:P01
chr1	31518435	31518435	1	+	10720	LINC01226	LINC01226:P01
chr1	31576485	31576515	31	+	24803	TINAGL1	TINAGL1:P01
chr1	31578145	31578145	1	+	24803	TINAGL1	TINAGL1:P02
chr1	31617700	31617700	1	+	8066	HCRTR1	HCRTR1:P01
chr1	32013868	32013868	1	+	9403	KHDRBS1	KHDRBS1:P01
chr1	32072031	32072031	1	+	25126	TMEM39B	TMEM39B:P01
chr1	32072939	32072939	1	+	25126	TMEM39B	TMEM39B:P02
chr1	32086949	32086949	1	+	15664	MIR5585	MIR5585:P01
chr1	32108056	32108056	1	+	9654	KPNA6	KPNA6:P01
chr1	32179675	32179675	1	+	25893	TXLNA	TXLNA:P01
chr1	32180065	32180065	1	+	25893	TXLNA	TXLNA:P02
chr1	32200386	32200386	1	+	2780	CCDC28B	CCDC28B:P01
chr1	32200595	32200595	1	+	2780	CCDC28B	CCDC28B:P02
chr1	32205671	32205671	1	+	8972	IQCC	IQCC:P01
chr1	32209094	32209094	1	+	4608	DCDC2B	DCDC2B:P01
chr1	32221584	32221584	1	+	5539	EIF3I	EIF3I:P01
chr1	32247222	32247222	1	+	6095	FAM167B	FAM167B:P01
chr1	32251265	32251265	1	+	9955	LCK	LCK:P01
chr1	32274111	32274111	1	+	9955	LCK	LCK:P02
chr1	32292083	32292083	1	+	8069	HDAC1	HDAC1:P01
chr1	32362539	32362539	1	+	25736	TSSK3	TSSK3:P01
chr1	32465072	32465072	1	+	26858	ZBTB8B	ZBTB8B:P01
chr1	32539427	32539427	1	+	26857	ZBTB8A	ZBTB8A:P01
chr1	32651208	32651208	1	+	20597	RBBP4	RBBP4:P01
chr1	32651358	32651358	1	+	20597	RBBP4	RBBP4:P02
chr1	32741830	32741830	1	+	9436	KIAA1522	KIAA1522:P01
